Prueba #;Nodos;N;NB;P;Q;Tiempo segundos;Tiemp minutos;Gflops;Consumo_W;MFLOPS_W;archivo;Fecha;Comentarios;;
;6;20000;256;3;2;1005.45;;5.305;;;;;;;
;6;26000;256;3;2;2050.87;;5.7139;;;;;;;
;6;30000;128;3;2;3166.42;;5.6851;;;;;;;
1;6;30000;160;3;2;2947.49;;6.1073;;;;;;;
2;6;30000;160;3;2;2722.92;;6.6111;;;hpl_145.out;08-07-2025;Se hizo la prueba nuevamente con la nueva fuente switch 5v 40a ;;
3;6;30000;160;3;2;;;;;;;;;;
;6;30000;192;3;2;3057.65;;5.8873;;;;;;;
1;6;30000;224;3;2;2946,4;49,11;6.1096;;;hpl_129.out;15-06-2025;2 fuentes de pc dell que luego fallaron voltaje;;
2;6;30000;224;3;2;2683,30;44,72;6.7093;;;hpl_144.out;08-07-2025;Se hizo la prueba nuevamente con la nueva fuente switch 5v 40a ;;
3;6;30000;224;3;2;2604,42;43,41;6,91118;;;;;;;
;6;30000;256;3;2;2993.38;;6.0137;;;;;;;
;8;20000;256;8;1;1339.06;;3.9834;;;;;;;
;8;28000;256;8;1;3277.42;;4.4657;;;;;;;
;8;30000;256;8;1;6873.31;;2.619;;;;;;;
;8;30000;128;3;2;3179.53;;5.6616;;;;;;;
1;8;30000;160;3;2;2932,81;48,88;6.1379;;;hpl_135.out;15-06-2025;2 fuentes de pc dell que luego fallaron voltaje;;
2;8;30000;160;3;2;2735,01;45,58;6.5818;;;hpl_143.out;07-07-2025;Se hizo la prueba nuevamente con la nueva fuente switch 5v 40a ;;
;8;30000;192;3;2;3070.96;;5.8618;;;;;;;
;8;30000;224;3;2;2949.44;;6.1033;;;hpl_133.out;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;2735,01;45,5835;;;;;;;;;
;;;;;;;;;6,1073;;100;;;;
;;;;;;;;;0,5038;;8,25;;;;
;;;;;;2932,81;;;;;;;;;
;;;;;;;;;6,1096;;100;;;;
;;;;;;;;;0,5997;;9,82;;Promedio de mejora:;8,43;
;;;;;;;;;;;;;;;
;;;;;;;;;6,1379;;100;;;;
;;;;;;;;;0,4439;;7,23;;;;
