Nro Job;N;NB;P;Q;Nodes;Task per Node;Time;Time Humanamente legible;Gflops
131;30000;160;3;2;6;1;2947,49;0:49:07.490000;6,1073
135;30000;160;3;2;8;1;2932,81;0:48:52.810000;6,1379
1668;30000;128;3;2;6;4;3181,25;0:53:01.250000;5,6586
1675;30000;128;3;2;6;4;3173,64;0:52:53.640000;5,6722
2653;30000;128;3;2;6;4;3306,72;0:55:06.720000;5,4439
1483;30000;128;3;2;6;1;3002,59;0:50:02.590000;5,9953
1481;30000;128;3;2;6;1;2959,56;0:49:19.560000;6,0824
1492;30000;128;3;2;6;1;3036,52;0:50:36.520000;5,9283
132;30000;128;3;2;6;1;3166,42;0:52:46.420000;5,6851
1482;30000;128;3;2;6;1;2963,13;0:49:23.130000;6,0751
1514;30000;128;6;4;6;4;1263,12;0:21:03.120000;14,252
1587;30000;128;6;4;6;4;1263,79;0:21:03.790000;14,244
1532;30000;128;6;4;6;4;1264,82;0:21:04.820000;14,232
1660;30000;128;6;4;6;4;1262,78;0:21:02.780000;14,255
1588;30000;128;6;4;6;4;1262,74;0:21:02.740000;14,256
136;30000;128;3;2;8;1;3179,53;0:52:59.530000;5,6616
130;30000;192;3;2;6;1;3057,65;0:50:57.650000;5,8873
134;30000;192;3;2;8;1;3070,96;0:51:10.960000;5,8618
1921;30000;224;3;2;6;1;2919,85;0:48:39.850000;6,1652
129;30000;224;3;2;6;1;2946,4;0:49:06.400000;6,1096
2659;30000;224;3;2;6;1;2872,55;0:47:52.550000;6,2667
1681;30000;224;4;6;6;4;1266,19;0:21:06.190000;14,217
1724;30000;224;4;6;6;4;1242,12;0:20:42.120000;14,492
1715;30000;224;4;6;6;4;1221,88;0:20:21.880000;14,733
133;30000;224;3;2;8;1;2949,44;0:49:09.440000;6,1033
1732;30000;224;3;2;6;4;3161,97;0:52:41.970000;5,6931
1730;30000;224;3;2;6;4;3154,87;0:52:34.870000;5,7060
1728;30000;224;3;2;6;4;3152,05;0:52:32.050000;5,711
